text|s0|s1|s10|s11|s12|s13|s15|s16|s17|s18|s19|s2|s20|s21|s22|s23|s24|s25|s26|s27|s28|s29|s3|s30|s31|s32|s33|s34|s35|s36|s37|s38|s39|s4|s40|s41|s42|s43|s44|s45|s46|s47|s48|s49|s5|s50|s6|s7|s8|s9
Käesolevast aastast saab töötukassalt taotleda koolitustoetust töötajate informatsiooni- ja kommunikatsioonitehnoloogia (IKT) alaste oskuste arendamiseks. |1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"Päeva tulemusena arendate:
Meeskonnatööd
Strateegilist mõtlemist
Juhtimisoskust
Otsustusoskus"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0
Samuti on puudu ruumilise ja strateegilise planeerimise võimekusest, kontseptuaalsest mõtlemisoskusest ning finantsnäitajate lugemise oskusest.|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0
Digioskuste puudumine takistab arengut|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
ruumikujutlusvõimet|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"1) Peab kinni tähtaegadest ja kokkulepetest.
2) Kasutab aega efektiivselt."|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Tehnoloogi, sh mööblitoodete tehnoloogi kasvava tähtsusega erialasteks oskusteks ja teadmisteks on oma valdkonna toodete tootearenduse tehniliste eripärade tundmine, puitmaterjali eripärade ja materjalitehnoloogia tundmine, tööprotsesside tundmine, jooniste koostamine ja konstrueerimine, jooniste lugemise oskus nii käsitsi kui arvutil  ning joonestamise ja projekteerimistarkvaraga töötamine.|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
Kampaania eesmärk on tõsta kodanike teadlikkust tööalaste e-oskuste täiendamise vajadusest. |1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Mehhatroonikud täidavad lisaks hoolduse ja remondiga seotud ülesannetele sageli ka seadmete programmeerimise ja seadistamisega seotud ülesandeid ning seetõttu on nende puhul kasvava tähtsusega robotite seadistamise oskus, erinevate programmeerimiskeelte õppimise kogemus ja nt SMED põhioskuste omandamine |1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
On väga teretulnud, et täiskasvanud saavad tasuta kursustel nii oma praktilisi kui teoreetilisi IT-teadmisi arendada, kasvatades nii oma konkurentsivõimet. |1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
President Ilves tudengitele: inimeste digitaalne kirjaoskus on möödapääsmatu|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
LOOGILIST analüütilist mõtlemist|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Kuna üha suurem osa tootmisest on projektipõhine, kus töötajad kuuluvad sageli erinevatesse projektimeeskondadesse või vahetuvad meeskonnaliikmed tihti, siis on järjest vajalikum suhtlemisoskus, meeskonna juhtimise oskus, strateegiline mõtlemine ja keelteoskus.|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|1|0
Virtuaalne tööandjate teabepäev koolitustoetuse kohta töötajate IKT alaste oskuste arendamiseks|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Puidupingioperaatori kasvava tähtsusega erialasteks oskusteks ja teadmisteks on puidutöötlemispinkide ja -seadmete ehituse ning tööpõhimõtete tundmine (sh CNC töötlemiskeskused), detailide lõiketöötlemise režiimide ning kasutatavate puit- ja puidupõhiste materjalide ning toodete omaduste ja kvaliteedi tundmine, tööjoonisete lugemise  ja materjalide ökonoomse kasutamise oskus. |0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1
tehniliste jooniste vormistamise|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Lisaks erialasele professionaalsusele toodi kandidaatide juures välja ka rida isikuomadusi, mis on olulised hea tulemuse saavutamiseks - süsteemne tegevus, eesmärgile pühendumine, põhjalikkus, hea suhtlemisoskus, operatiivsus, innovatiivsus, soov end pidevalt erialaselt täiendada”, lausus Ehitusinseneride Liidu tegevdirektor Tiia Ruben.|0|1|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0
Projektipõhise tootmise mahu kasv eeldab ka oskustöötajatelt valmisolekut olla meeskonnajuht ja uute töötajate juhendaja.|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0
Puudu jääb koormasse laaditud puidu mahu hindamise  ja virnatäiuse koefitsiendi määramise oskusest, puidurikete tundmisest, IKT-lahenduste (nutikad pardaarvutid, e-veoselehed, navigeerimine ehk oskus sõita koordinaatide järgi)  ning efektiivsete ja ergonoomiliste töövõtete rakendamisest.|1|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Tulemuslik meeskonnajuhtimine kaugtööl|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0
On leitud, et kõige enam suurendab töötaja karjääri kohanemisvõimet oskus vastavalt vajadusele kasutada erinevaid enda arendamise viise. Näiteks kogenumatelt kolleegidelt tagasisidet küsides, iseseisvalt infot juurde otsides, võimaluste avanedes täiendus- ja ümberõppes osaledes.|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Mida saame ühiselt teha IKT oskuste arendamiseks Eestis?|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Tundsin, et pean muutuma paremaks inimestega suhtlemises, ja saada sellises koguses kogemust ühe suvega tundus hea plaan. |0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
Ehitame üles koostööd, mitte ei võistle omavahel, sest Euroopas teatakse meie tootjaid Baltikumi nime all,“ rääkis Grikis.|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Puidu- ja mööblitööstuse müügi- ja ostujuhtidel jääb puudu eksportturgude kultuuri tundmisest ja vahetust suhtlemisoskusest välisturgudel. Täiendamist vajavad valdkonnaspetsiifiliste IKT-lahenduste tellimise ja rakendamise oskus ning selge ja korrektne eesti keel.|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
ohutusnõuded|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Saab aru ettevõtte rollist tööstuses.|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
alusteadmised|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Veebiseminaril räägib Indrek Maripuu, kuidas efektiivselt juhtida sõltumata sellest, kus meeskonnaliikmed tööd teevad.|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0
Traditsiooniliste keevitusmeetodite (elektroodkeevitus) kõrval, mis annavad keevitajale baasoskused, tuleb enam tähelepanu pöörata uutele keevitusmeetoditele ning töös kasutatavate abivahendite (rakiste) kasutamisele.|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Sealjuures on oluline osata enda õpikogemusi mõtestada, mida väärtuslikku saadi ja kuidas seda rakendada.|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Ettevõtjad otsivad töökogemusega spetsialiste, kes oleks kiiresti muutuvas tehnoloogilises keskkonnas õpi- ja kohanemisvõimelised.|0|0|1|1|0|1|0|1|0|0|0|0|0|0|0|1|1|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
Muutused inseneridelt eeldatavatelt erialastelt oskustelt on seotud eelkõige nn neljanda tööstusrevolutsiooni (Industry 4.0) arengutega. Peamiste märksõnadena toodi intervjuudes ja grupitöödes välja üha laienevat robotite kasutamist  tootmises ning erialaste IKT-lahenduste tundmist ja rakendamist. Viimase puhul on oluline, et insenerid ei valdaks mitte ainult joonestus- ja seadmete juhtimisprogramme, vaid tunneks ka ettevõtte infohalduse tarkvarasid (nt PLM – Product Lifecycle Management) ja tootmise juhtimise (nt ERM – Enterprise Risk Management) lahendusi.|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Samuti kirjeldatakse, et virtuaalne juht peaks olema hea suhtleja, algatusvõimeline, paindlik ning demonstreerima õppimis- ja muutumisvõimet.|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
Nõuded kandidaadile Haridustase põhiharidus Keeleoskus Keel	Kõnes	Kirjas eesti keel - nõutud	B1 - keskmine	A2 – vähene Juhiload B Arvutioskus algtase Muud nõuded - soov ja valmisolek töötada välitingimustes erinevate ilmastikuolude korral (välja arvata laussadu, torm, muud ekstreemsused); - hea tervis ja vastupidavus füüsilisel tööl|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Kuidas püstitada meeskonnaga eesmärke nii, et see toetab nende saavutamist sõltumata asukohast?|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Järjest enam nõutakse tooteid koostavatel töötajatel n-ö tervikpildi nägemise oskust üksikute töövõtete valdamise asemel, suuremat rõhku pannakse tööohutuse alaste nõuete tundmisele ja järgmisele.|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Seoses tootmise automatiseerimisega tekib ka koostelukkseppadel vajadus õppida opereerima tootmisroboteid.|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Võistlusülesandena tuli elektroonikutel etteantud komponentidest kokku monteerida pindmontaaž- ja läbiviiktehnoloogiaid kasutav elektroonikaseadme trükkplaat. |0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Ta töötab meeskonna liikmena, jälgib tööprotsessist kinnipidamist, tootlikkust, hoiab toodangu kvaliteeti ning järgib töö- ja keskkonnaohutuse nõudeid.|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
TEPP koostööplatvorm ilmestab hästi Eesti kerksust ning oskust vastata kriisidele ja väljakutsetele uuenduslike lahendustega. |0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
"1) Mõistab ohutusseadmete tööpõhimõtteid.
2) Seadmetel ja/või töövahenditel puuduste esinemisel teavitab viivitamatult vastutavat isikut."|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
Karin Künnapas: julgust asju ette võtta ei tasu alahinnata.|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Lisaks erialastele IKT-oskustele ehk erinevate programmide tundmise ja rakendamise oskusele vajavad arendamist seadmete kiirseadistamise oskused (nt SMED oskused), teadmised uutest lõiketehnoloogiatest ja -instrumentidest, tööriistade ja -pinkide tarvikutest.|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
Võistlused kestavad mitu päeva ning igal võistlusalal hinnatakse nii tehnilist sooritust, meeskonnatööd kui ka suhtlemist ja oskust töötada projektidega.|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
Tegelikult on meie töö ikkagi suures osas seotud läbirääkimiste ja koostööga ning seda me ka õpetame. |0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Ettevõtjate hinnangul vajavad ka siin koolilõpetajate puhul arendamist jooniste lugemise, ruumilise mõtlemise ja montaažioskused.|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
Kasvava ja olulise trendina rõhutati oskust juhtida ettevõtte tööd läbi ettevõtte väärtuste ja võimet töötajaid motiveerida.|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Puidu- ja mööblitööstuse juhtidel jääb puudu ettevõtlust ja juhtimist puudutavatest oskustest, probleemilahendamise oskusest, finantsnäitajate lugemise oskusest ja ideede genereerimise võimest  koos elluviimise oskusega.|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0
Kasvavaks oskuseks on ka efektiivsete ja ergonoomiliste töövõtete omamise oskus.|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
“Parimates meeskondades kuulavad meeskonna liikmed üksteist ning mõistavad teiste tundeid ja vajadusi.”|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Kõige suurem ja tähtsam osa on koostöö seoses reservväega, sest me tahame ettevõtjatelt erinevates olukordades saada inimressurssi.|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
Nende kasvava tähtsusega üldiseks oskuseks on strateegilise planeerimise oskus, kontseptuaalne mõtlemisoskus, suhtlemisoskus ja valdkondlike õigusaktide tundmine ning IKT-lahenduste rakendamine. |1|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0
Töötoa turvalises keskkonnas õpid looma tugevaid ja väärtuslikke võrgustikke ning lisaks saad teada, milliseid vigu networkimisel vältida.|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Puitkonstruktsioonide püstitajate kasvava tähtsusega erialasteks oskusteks ja teadmisteks on projektdokumentatsiooni lugemise oskus, elementide õigesse konstruktsiooni lõikamise oskus CNC töötlemiskeskusel ning tööriistade-seadmete kasutamise, hooldamise ja remontimise oskus.|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
Turunduskoolituse eesmärk on anda osalejatele edasi praktilisi oskusi ja nippe oma organisatsiooni turundustegevuste elluviimiseks (kas turundustegevusi ise tehes või olles tark tellija).|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
See on oskus olla teadlik end mõjutavatest emotsioonidest, võime seda teadmist kasutada arusaadavalt ning mõistlikult nii eneseväljendamisel kui ka suhetes teistega. |0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
Teeb koostööd kaastöötajatega.  Annab oma panuse ühise tulemuse saavutamiseks. |0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
tööstusdisaini|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Facebookil on nüüd Eestis oma esindaja, kes kutsus EVEAd Facebookiga koostööd tegema, et aidata väikeettevõtjatel parandada oma digiturunduse ja e-kauplemise oskusi sotsiaalmeedias.|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Veel rõhutab RIA kahte asja. Esiteks soovitatakse ettevõtetel hinnata, milliseid dokumente üldse on vaja üle tembeldada ning kas kinnitada dokumente templiga ühe- või sajakaupa.|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Kasvavateks üldisteks oskusteks on protsesside, ressursside, riskide ja inimeste juhtimise oskus, läbirääkimise oskus, sihikindlus ja eesmärkide seadmine, meeskonnatöö oskus, keelte valdamine ning oskus tellida ja rakendada valdkonnaspetsiifilisi IKT-lahendusi. |0|0|0|0|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0
